"Data","Mes financeiro","Tipo","Descricao","Categoria","Forma de pagamento","Valor"
"2026-04-29","2026-04","expense","Almoço UnB","Alimentação","Cartão BB","25.50"
"2026-04-29","2026-04","expense","Combustível","Transporte","Cartão BB","93.37"
"2026-04-29","2026-04","expense","Almoço UnB","Alimentação","Cartão de crédito","25.50"
"2026-04-27","2026-04","expense","Almoço UnB","Alimentação","Cartão BB","18.00"
"2026-04-26","2026-04","expense","Açai","Restaurantes","Cartão BB","41.80"
"2026-04-25","2026-04","expense","Salgado CCU","Restaurantes","Cartão BB","8.00"
"2026-04-25","2026-04","expense","Salgado CCU","Restaurantes","Cartão de crédito","8.00"
"2026-04-24","2026-04","expense","SuperChat","Lazer","PIX","5.00"
"2026-04-21","2026-04","expense","Pix Leticia","Lazer","PIX","5.00"
"2026-04-18","2026-04","expense","Tênis Hocks (2/4)","Importante","Cartão BB","85.47"
"2026-04-16","2026-04","expense","Uzuk Sushi","Restaurantes","Cartão BB","270.97"
"2026-04-15","2026-04","expense","SuperChat","Lazer","PIX","8.69"
"2026-04-15","2026-04","expense","Combustível","Transporte","Cartão BB","95.37"
"2026-04-14","2026-04","expense","Tênis Hocks","Compras","PIX","85.48"
"2026-04-14","2026-04","expense","Pagamento Pais","Moradia","Pagamento","300.00"
"2026-04-13","2026-04","expense","Almoço UnB","Alimentação","Cartão BB","25.50"
"2026-04-12","2026-04","expense","Conta Claro","Importante","Pagamento","27.81"
"2026-04-11","2026-04","expense","Pizza Primor","Restaurantes","Cartão BB","104.70"
"2026-04-09","2026-04","expense","Ofidevó","Restaurantes","Cartão BB","137.50"
"2026-04-09","2026-04","expense","FGC","Investimentos","Pagamento","74.82"
"2026-04-08","2026-04","expense","Salgado UnB","Alimentação","Cartão BB","7.50"
"2026-04-08","2026-04","expense","Combustível","Transporte","Cartão BB","97.17"
"2026-04-08","2026-04","expense","SuperChat","Lazer","PIX","10.00"
"2026-04-07","2026-04","expense","Poupança","Investimentos","Pagamento","438.61"
"2026-04-07","2026-04","expense","Cabelo","Saúde","PIX","20.00"
"2026-04-07","2026-04","income","Salário","Recebimentos","Pagamento","2567.17"
"2026-04-02","2026-04","expense","Conta Vivo","Importante","Cartão BB","35.00"
"2026-04-01","2026-04","expense","Combustível","Transporte","Cartão BB","98.38"
"2026-04-01","2026-04","expense","Bk","Alimentação","Cartão BB","45.90"
